_id,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,dataset
5fdc7bd7782aee73d65a81b2,"CREAM,FLUID,HALF AND HALF",123,3,7,10,4,0,4,107,0,10,95,132,61,0,0,0,3,0,0,0,0,0,3,0,97,0,0,usda
5fdc7bd7782aee73d65a81b4,"CREAM,FLUID,LT WHIPPING",292,2,19,30,2,0,2,69,0,7,61,97,34,0,0,0,0,0,0,0,0,0,4,0,279,0,0,usda
5fdc7bd7782aee73d65a81b5,"CREAM,FLUID,HVY WHIPPING",340,2,23,36,2,0,2,66,0,7,58,95,27,0,0,0,3,0,0,0,0,0,4,0,411,0,1,usda
5fdc7bd7782aee73d65a81b7,"CREAM,SOUR,RED FAT,CULTURED",135,2,7,12,4,0,0,104,0,10,95,129,89,0,0,0,2,0,0,0,0,0,11,0,102,0,0,usda
5fdc7bd7782aee73d65a81b8,"CREAM,SOUR,CULTURED",198,2,10,19,4,0,3,101,0,10,76,125,31,0,0,0,3,0,0,0,0,0,6,0,124,0,0,usda
5fdc7bd7782aee73d65a81b9,EGGNOG,88,4,2,4,8,0,8,130,0,19,109,165,54,0,0,0,4,1,0,0,0,0,1,0,59,0,1,usda
5fdc7bd7782aee73d65a81c0,"CREAM SUBSTITUTE,POWDERED",529,2,19,32,59,0,7,2,0,1,288,669,124,0,0,0,0,0,0,0,0,0,0,0,0,1,0,usda
5fdc7bd7782aee73d65a81c1,"DESSERT TOPPING,POWDERED",577,4,36,39,52,0,52,17,0,7,74,166,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,usda
5fdc7bd7782aee73d65a81c4,"DESSERT TOPPING,SEMI SOLID,FRZ",318,1,21,25,23,0,23,6,0,2,8,18,25,0,0,0,2,0,0,0,0,0,0,0,7,0,0,usda
5fdc7bd7782aee73d65a81c5,"SOUR CRM,IMITN,CULTURED",208,2,17,19,6,0,6,3,0,6,45,161,102,1,0,0,2,0,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a81e6,"WHEY,ACID,FLUID",24,0,0,0,5,0,5,103,0,10,78,143,48,0,0,0,1,0,0,0,0,0,2,0,2,0,0,usda
5fdc7bd7782aee73d65a81e7,"WHEY,ACID,DRIED",339,11,0,0,73,0,73,2054,1,199,1349,2289,968,6,0,0,27,0,0,2,1,0,33,2,17,0,0,usda
5fdc7bd7782aee73d65a81e8,"WHEY,SWEET,FLUID",27,0,0,0,5,0,5,47,0,8,46,161,54,0,0,0,1,0,0,0,0,0,1,0,3,0,0,usda
5fdc7bd7782aee73d65a81e9,"WHEY,SWEET,DRIED",353,12,0,1,74,0,74,796,0,176,932,2080,1079,1,0,0,27,1,0,2,1,0,12,2,8,0,0,usda
5fdc7bd7782aee73d65a821c,"SOUR CREAM,REDUCED FAT",181,7,8,14,7,0,0,141,0,11,85,211,70,0,0,0,4,0,0,0,0,0,11,0,119,0,0,usda
5fdc7bd7782aee73d65a821d,"SOUR CREAM,LIGHT",136,3,6,10,7,0,0,141,0,10,71,212,83,0,0,0,3,0,0,0,0,0,11,0,90,0,0,usda
5fdc7bd7782aee73d65a821e,"SOUR CREAM,FAT FREE",74,3,0,0,15,0,0,125,0,10,95,129,141,0,0,0,5,0,0,0,0,0,11,0,73,0,0,usda
5fdc7bd7782aee73d65a821f,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",282,27,11,18,2,0,0,905,0,35,583,93,725,4,0,0,15,0,0,0,0,0,20,1,150,0,0,usda
5fdc7bd7782aee73d65a8221,"PARMESAN CHS TOPPING,FAT FREE",370,40,3,5,40,0,1,800,5,40,700,600,1150,3,0,0,43,0,0,0,0,0,25,1,40,0,0,usda
5fdc7bd7782aee73d65a8224,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276,12,13,21,9,0,6,359,0,0,806,240,1638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a8225,KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215,16,6,9,16,0,8,418,0,0,943,297,1705,2,0,0,0,0,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a8226,KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148,22,0,1,11,0,6,712,0,0,923,236,1298,2,0,0,0,0,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a8227,KRAFT VELVEETA PAST PROCESS CHS SPRD,303,16,14,22,9,0,8,466,0,0,863,335,1499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a8228,KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222,19,7,10,11,0,8,574,0,0,1024,345,1586,2,0,0,0,0,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a8229,KRAFT BREAKSTONE'S RED FAT SOUR CRM,152,4,7,12,6,0,6,161,0,0,110,210,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a822a,KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91,4,0,1,15,0,7,141,0,0,116,219,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,usda
5fdc7bd7782aee73d65a822b,"CREAM,HALF & HALF,FAT FREE",59,2,0,1,9,0,5,96,0,16,151,206,100,0,0,0,2,0,0,0,0,0,4,0,12,0,0,usda
5fdc7bd7782aee73d65a8230,"CREAM SUB,FLAV,LIQ",251,0,2,13,35,1,33,6,0,19,28,96,67,0,0,0,0,0,0,0,0,0,1,0,0,1,0,usda
5fdc7bd8782aee73d65a8242,DULCE DE LECHE,315,6,4,7,55,0,49,251,0,22,193,350,129,0,0,0,2,2,0,0,0,0,11,0,74,0,0,usda
5fdc7bd8782aee73d65a824c,ICE CRM SNDWCH,237,4,2,8,37,0,18,86,0,29,72,115,129,0,0,0,3,0,0,0,1,0,6,0,86,0,0,usda
5fdc7bd8782aee73d65a824f,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186,4,0,3,39,0,17,30,0,10,26,41,146,0,0,0,1,0,0,0,0,0,2,0,96,0,0,usda
